ID,ActivityHour,StepTotal,Calories,TotalIntensities,AverageIntensity
1503960366,04-12-2016 00:00,373,81,20,0.333333
1503960366,04-12-2016 01:00,160,61,8,0.133333
1503960366,04-12-2016 02:00,151,59,7,0.116667
1503960366,04-12-2016 03:00,0,47,0,0
1503960366,04-12-2016 04:00,0,48,0,0
1503960366,04-12-2016 05:00,0,48,0,0
1503960366,04-12-2016 06:00,0,48,0,0
1503960366,04-12-2016 07:00,0,47,0,0
1503960366,04-12-2016 08:00,250,68,13,0.216667
1503960366,04-12-2016 09:00,1864,141,30,0.5
1503960366,04-12-2016 10:00,676,99,29,0.483333
1503960366,04-12-2016 11:00,360,76,12,0.2
1503960366,04-12-2016 12:00,253,73,11,0.183333
1503960366,04-12-2016 13:00,221,66,6,0.1
1503960366,04-12-2016 14:00,1166,110,36,0.6
1503960366,04-12-2016 15:00,2063,151,58,0.966667
1503960366,04-12-2016 16:00,344,76,13,0.216667
1503960366,04-12-2016 17:00,489,83,16,0.266667
1503960366,04-12-2016 18:00,1386,124,29,0.483333
1503960366,04-12-2016 19:00,558,104,39,0.65
1503960366,04-12-2016 20:00,1733,132,41,0.683333
1503960366,04-12-2016 21:00,684,100,31,0.516667
1503960366,04-12-2016 22:00,89,65,9,0.15
1503960366,04-12-2016 23:00,338,81,21,0.35
1503960366,4/13/2016 12:00:00 AM,144,69,14,0.233333
1503960366,4/13/2016 1:00:00 AM,0,48,0,0
1503960366,4/13/2016 2:00:00 AM,0,47,0,0
1503960366,4/13/2016 3:00:00 AM,36,53,4,0.066667
1503960366,4/13/2016 4:00:00 AM,0,47,0,0
1503960366,4/13/2016 5:00:00 AM,0,47,0,0
1503960366,4/13/2016 6:00:00 AM,0,48,0,0
1503960366,4/13/2016 7:00:00 AM,126,59,8,0.133333
1503960366,4/13/2016 8:00:00 AM,275,69,12,0.2
1503960366,4/13/2016 9:00:00 AM,1679,136,27,0.45
1503960366,4/13/2016 10:00:00 AM,295,77,15,0.25
1503960366,4/13/2016 11:00:00 AM,524,84,16,0.266667
1503960366,4/13/2016 12:00:00 PM,486,82,15,0.25
1503960366,4/13/2016 1:00:00 PM,302,72,10,0.166667
1503960366,4/13/2016 2:00:00 PM,1577,128,46,0.766667
1503960366,4/13/2016 3:00:00 PM,493,79,13,0.216667
1503960366,4/13/2016 4:00:00 PM,299,71,10,0.166667
1503960366,4/13/2016 5:00:00 PM,695,87,23,0.383333
1503960366,4/13/2016 6:00:00 PM,1343,118,25,0.416667
1503960366,4/13/2016 7:00:00 PM,258,73,13,0.216667
1503960366,4/13/2016 8:00:00 PM,0,47,0,0
1503960366,4/13/2016 9:00:00 PM,0,48,0,0
1503960366,4/13/2016 10:00:00 PM,437,74,11,0.183333
1503960366,4/13/2016 11:00:00 PM,1766,135,56,0.933333
1503960366,4/14/2016 12:00:00 AM,81,56,4,0.066667
1503960366,4/14/2016 1:00:00 AM,58,54,3,0.05
1503960366,4/14/2016 2:00:00 AM,0,47,0,0
1503960366,4/14/2016 3:00:00 AM,0,47,0,0
1503960366,4/14/2016 4:00:00 AM,0,47,0,0
1503960366,4/14/2016 5:00:00 AM,0,47,0,0
1503960366,4/14/2016 6:00:00 AM,0,47,0,0
1503960366,4/14/2016 7:00:00 AM,0,47,0,0
1503960366,4/14/2016 8:00:00 AM,0,47,0,0
1503960366,4/14/2016 9:00:00 AM,902,93,14,0.233333
1503960366,4/14/2016 10:00:00 AM,1106,109,23,0.383333
1503960366,4/14/2016 11:00:00 AM,50,64,7,0.116667
1503960366,4/14/2016 12:00:00 PM,501,85,18,0.3
1503960366,4/14/2016 1:00:00 PM,1779,137,54,0.9
1503960366,4/14/2016 2:00:00 PM,1228,113,22,0.366667
1503960366,4/14/2016 3:00:00 PM,139,66,7,0.116667
1503960366,4/14/2016 4:00:00 PM,408,88,25,0.416667
1503960366,4/14/2016 5:00:00 PM,37,61,5,0.083333
1503960366,4/14/2016 6:00:00 PM,322,72,12,0.2
1503960366,4/14/2016 7:00:00 PM,11,55,1,0.016667
1503960366,4/14/2016 8:00:00 PM,806,91,24,0.4
1503960366,4/14/2016 9:00:00 PM,2670,174,57,0.95
1503960366,4/14/2016 10:00:00 PM,362,79,17,0.283333
1503960366,4/14/2016 11:00:00 PM,0,50,0,0
1503960366,4/15/2016 12:00:00 AM,83,60,6,0.1
1503960366,4/15/2016 1:00:00 AM,75,58,5,0.083333
1503960366,4/15/2016 2:00:00 AM,124,59,7,0.116667
1503960366,4/15/2016 3:00:00 AM,0,47,0,0
1503960366,4/15/2016 4:00:00 AM,0,47,0,0
1503960366,4/15/2016 5:00:00 AM,26,49,1,0.016667
1503960366,4/15/2016 6:00:00 AM,0,47,0,0
1503960366,4/15/2016 7:00:00 AM,7,49,1,0.016667
1503960366,4/15/2016 8:00:00 AM,55,54,5,0.083333
1503960366,4/15/2016 9:00:00 AM,21,50,2,0.033333
1503960366,4/15/2016 10:00:00 AM,154,63,8,0.133333
1503960366,4/15/2016 11:00:00 AM,425,84,23,0.383333
1503960366,4/15/2016 12:00:00 PM,270,74,13,0.216667
1503960366,4/15/2016 1:00:00 PM,373,67,9,0.15
1503960366,4/15/2016 2:00:00 PM,0,47,0,0
1503960366,4/15/2016 3:00:00 PM,0,47,0,0
1503960366,4/15/2016 4:00:00 PM,0,47,0,0
1503960366,4/15/2016 5:00:00 PM,1774,140,47,0.783333
1503960366,4/15/2016 6:00:00 PM,509,87,22,0.366667
1503960366,4/15/2016 7:00:00 PM,519,97,32,0.533333
1503960366,4/15/2016 8:00:00 PM,77,64,8,0.133333
1503960366,4/15/2016 9:00:00 PM,280,75,14,0.233333
1503960366,4/15/2016 10:00:00 PM,2145,151,66,1.1
1503960366,4/15/2016 11:00:00 PM,2768,182,95,1.583333
1503960366,4/16/2016 12:00:00 AM,459,77,15,0.25
1503960366,4/16/2016 1:00:00 AM,0,48,0,0
1503960366,4/16/2016 2:00:00 AM,63,52,3,0.05
1503960366,4/16/2016 3:00:00 AM,6,48,1,0.016667
1503960366,4/16/2016 4:00:00 AM,6,49,1,0.016667
1503960366,4/16/2016 5:00:00 AM,12,49,1,0.016667
1503960366,4/16/2016 6:00:00 AM,0,48,0,0
1503960366,4/16/2016 7:00:00 AM,101,54,4,0.066667
1503960366,4/16/2016 8:00:00 AM,175,62,9,0.15
1503960366,4/16/2016 9:00:00 AM,1181,124,38,0.633333
1503960366,4/16/2016 10:00:00 AM,1295,110,14,0.233333
1503960366,4/16/2016 11:00:00 AM,2043,147,30,0.5
1503960366,4/16/2016 12:00:00 PM,1513,119,42,0.7
1503960366,4/16/2016 1:00:00 PM,3616,214,90,1.5
1503960366,4/16/2016 2:00:00 PM,580,82,20,0.333333
1503960366,4/16/2016 3:00:00 PM,0,51,0,0
1503960366,4/16/2016 4:00:00 PM,15,54,2,0.033333
1503960366,4/16/2016 5:00:00 PM,380,79,17,0.283333
1503960366,4/16/2016 6:00:00 PM,96,65,10,0.166667
1503960366,4/16/2016 7:00:00 PM,146,67,12,0.2
1503960366,4/16/2016 8:00:00 PM,385,81,19,0.316667
1503960366,4/16/2016 9:00:00 PM,463,75,13,0.216667
